subjectid,gender,height,weight,handedness,age,race
12452,male,173.5,77.8,right,40,white
12454,male,168.7,83.1,right,30,asian
12456,male,171,74.9,right,30,black
12457,male,178.6,63,right,22,black
12459,male,175.1,88,right,33,asian
12463,male,175,72.2,right,28,white
12467,male,175.8,62.1,right,18,white
12479,male,178.5,75,right,20,white
12480,male,176.3,96.9,right,41,white
12505,male,170.8,85.4,right,33,white
12506,male,176.3,90.7,right,38,asian
12509,male,175,85.8,right,29,hispanic
12511,male,171,86.6,right,39,white
12515,male,180.3,92.7,right,20,white
12517,male,172.5,91,right,34,white
12526,male,181.7,94.2,right,33,white
12527,male,172.3,73.6,right,29,white
12528,male,159.8,66.6,right,24,hispanic
12538,male,171.7,78.4,right,26,black
12544,male,173.7,120.8,left,22,native_american
12545,male,181.4,99.9,right,24,white
12551,male,172.1,80.4,right,29,white
12554,male,181.8,95.1,right,37,white
12556,male,173.5,88,right,31,black
12563,male,176,75.7,left,25,white
12566,male,179.3,81.9,left,22,white
12567,male,172.2,97.2,right,25,white
12568,male,185,94.5,right,21,white
12570,male,171.9,91.2,right,20,asian
12573,male,174,76.1,right,34,black
12574,male,173.1,90.2,right,27,white
12575,male,184.2,81.3,right,29,white
12578,male,180,106.6,left,21,white
12586,male,171,78.2,left,28,black
12587,male,180.3,101.8,right,40,white
12590,male,180,81.8,right,24,white
12594,male,174.4,84.7,right,40,black
12597,male,173.5,100.5,right,27,white
12600,male,170.6,92.5,right,38,white
12602,male,168.7,65.1,right,23,black
12610,male,180.3,86.7,right,23,white
12612,male,189.7,86.7,right,24,white
12615,male,176.8,91.4,right,32,white
12616,male,165.2,77.1,right,25,white
12618,male,174.9,63.5,right,23,white
12619,male,177.2,87.2,right,27,white
12621,male,178.8,89.4,right,36,white
12624,male,183.3,86.6,right,21,white
12625,male,176,82.9,right,29,white
12634,male,166.2,60.7,right,33,white
12636,male,189.9,102.9,right,26,white
12641,male,170,68.1,right,25,white
12644,male,192.3,88.9,right,28,white
12648,male,178.2,71.6,right,31,hispanic
12649,male,177.3,81.6,right,43,white
12651,male,177.9,88.5,right,33,white
12653,male,171.8,86.3,left,25,hispanic
12654,male,174.4,94.2,right,24,white
12655,male,176.1,95.8,right,27,hispanic
12658,male,172.2,62.5,right,31,hispanic
12659,male,181.4,77.2,right,24,white
12666,male,178.6,72.2,right,22,white
12667,male,165.9,97.5,right,22,white
12670,male,171.1,87.9,right,24,black
12672,male,164.7,107.1,right,21,white
12673,male,171,87.2,right,22,black
12677,male,180.5,74.2,right,30,white
12681,male,167.1,64.9,right,26,white
12683,male,173.5,65.4,right,23,white
12687,male,175.8,87.1,right,25,white
12690,male,180.4,94.2,right,24,other
12695,male,173.1,83.7,right,26,hispanic
12700,male,177.9,74.5,right,31,black
12715,male,185.2,108.7,right,25,white
12719,male,172.5,101.9,right,25,white
12722,male,176.8,90.6,right,38,white
12723,male,170.9,83.1,right,34,hispanic
12727,male,174,86.2,left,26,white
12729,male,183.6,101.4,right,42,white
12731,male,174.7,92.6,right,36,black
12732,male,172.5,80.8,right,29,black
12734,male,174.5,97.2,right,34,hispanic
12736,male,173.6,82.3,right,30,white
12737,male,182.5,65.9,right,39,white
12740,male,174.2,87.8,right,27,white
12742,male,179.3,91.8,right,31,white
12744,male,174.7,111.4,right,42,hispanic
12745,male,174.3,74,right,20,hispanic
12751,male,183.2,94.9,right,27,white
12758,male,170.8,69.8,right,25,black
12762,male,180.2,96.8,right,28,black
12764,male,175.7,88.3,right,29,white
12765,male,186.1,98.2,right,34,white
12767,male,180,79.3,right,26,white
12768,male,170.8,91.8,right,47,hispanic
12779,male,177.4,90,right,26,white
12783,male,172.3,100.9,right,29,white
12784,male,182.8,62.5,left,19,white
12786,male,180.8,116.1,right,31,white
12790,male,168.3,68.3,right,28,hispanic
12792,male,173.6,65.2,right,34,black
12794,male,172.2,80.8,right,39,white
12808,male,176.1,103.4,right,27,white
12815,male,181.4,107.7,right,49,white
