spell,old20,bnc,subtlex
apposed,2.1,10,3
appraise,2.25,81,9
appraised,2.3,112,23
apprale,2.5,0,0
apprarns,3,0,0
apprimed,2.6,0,0
apprise,2.25,8,5
apprised,2.35,26,37
appro,2.5,11,0
approach,3.05,16217,1005
approached,3.2,2923,220
apprombed,3.5,0,0
approste,2.75,0,0
approve,2.4,1065,579
approved,2.5,4900,322
approves,2.5,125,44
april,1.95,14707,10
apron,1.9,495,132
aprons,1.95,78,17
apse,1.8,123,0
apses,1.75,45,0
apshosed,2.95,0,0
apsteach,3.6,0,0
apsteached,3.7,0,0
apstide,2.9,0,0
apt,1.55,676,83
apter,1.85,12,0
aptign,2.7,0,0
aptile,2.2,0,0
aptives,2.4,0,0
aptly,1.9,242,16
aptness,2.15,13,0
apwra,2.65,0,0
aqu,1.95,0,11
aqueous,2.9,104,4
arab,1.8,2638,3
arabs,1.85,523,1
arains,1.75,0,0
arayed,1.75,0,0
arbect,2.5,0,0
arbered,2.5,0,0
arberns,2.95,0,0
arbers,1.95,0,0
arbing,1.85,0,0
arbour,2.15,59,1
arbours,2.3,7,0
arbyes,2.3,0,0
arc,1.65,897,53
arcade,2.25,351,88
arcades,2.25,118,11
arcane,2.45,118,11
arced,1.9,34,3
arch,1.7,968,107
archdims,3.1,0,0
archduke,3.8,35,5
arched,1.7,472,9
archer,1.75,460,25
archers,1.8,309,33
arches,1.6,531,36
arching,1.8,97,6
archives,2.7,745,116
archly,2.5,55,0
archway,2.75,214,11
archways,2.85,56,0
arcing,1.9,20,5
arcs,1.7,142,7
arctic,2.35,870,14
ardent,1.95,250,30
ardorn,2.45,0,0
ardour,2.25,88,4
ardours,2.4,4,0
ardstice,2.9,0,0
arduous,2.85,248,34
are,1,470949,225936
area,1.7,35144,3663
areas,1.7,23363,448
arecand,2.65,0,0
arecands,2.8,0,0
arecul,2.65,0,0
arehorse,2.65,0,0
arends,1.8,0,0
ares,1,29,1
arete,1.95,5,0
arfed,1.9,0,0
arge,1.55,0,0
argent,1.85,29,3
argly,2,0,0
argon,1.85,44,7
argops,2.4,0,0
argot,1.95,21,1
argue,1.85,4274,999
argued,2.1,6481,137
argues,1.85,2325,20
argus,1.85,84,0
aria,1.75,159,34
arias,1.8,172,5
arick,1.75,0,0
arid,1.65,341,14
aries,1.35,128,0
aright,1.65,40,8
arine,1.8,0,0
arir,1.8,0,0
